ID	Reference	Title	Year	Authors	doi	Experimental_Setup	Preprocessing_reported	Inclusion_1	Reason_exclusion_1	Open_data_1	Screening_1	Notes_1	Inclusion_2	Reason_exclusion_2	Open_data_2	Screening_2	Notes_2	Inclusion_final	Reason_final
94	"Deloche, G., & Seron, X. (Eds.). (2018). Mathematical disabilities: A cognitive 
 neuropsychological perspective (Vol. 5). Routledge."		2018	Deloche, G., & Seron, X.	https://doi.org/10.4324/9780429488542			0			EP	book	0	it's a book		BB_JPR		0	Book chapter without empirical data
95	"Hommel, B. (2004). Coloring an action: Intending to produce color events 
 eliminates the Stroop effect. Psychological research, 68(2), 74-90."		2004	Hommel, B.	https://doi.org/10.1007/s00426-003-0146-5	"participants responded by pressing the left or right shift key with the corresponding index finger.
 All stimuli were presented in EGA text mode on a black screen.
 The uppercase letters X and Y served as target stimuli, to signal a
 left- and right-hand response respectively. They were presented in
 white but changed to red or green, depending on the response given, upon response onset. Targets appeared inside a one-pixel wide
 frame that could be either gray, red, or green. 
 Acquisition phase Each trial began with a blank interval of 1,500 ms, followed by the presentation of a gray frame. In the long SOA group the frame stayed for 1,000 ms before it was replaced by the target. In the short SOA group the frame accompanied the target and disappeared 150 ms after the onset of frame and target.
 Participants were verbally instructed to respond to the letter target by pressing the left or right key as quickly as possible within 1,000 ms while ignoring the frame. Each key press triggered a color
 change of the target (the action effect): Pressing the left key changed it to green and pressing the right key changed it to red. The color change took place on response onset and the colored target
 stayed for 500 ms. Participants worked through 80 valid acquisition trials comprising 40 miniblocks composed of a random sequence of the two targets or response-effect pairings.
 Test phase After having completed the acquisition trials, participants received a message on the screen informing them that from now on the frame would be colored, but that they were to ignore this color. Participants were prepared that this would happen as it had already been announced in the initial instruction. The actual
 task was exactly as in the acquisition phase; the only exception was that in a given trial the frame was either green or red. Participants worked through 280 valid test trials, comprising 70 miniblocks composed of a random sequence of the four possible combinations of two targets (or response-effect pairings) and frame colors.
combined the color-acquisition design of Experiment 1 with a manual 
Stroop task. Accordingly, participants were presented with congruently, 
neutrally, and incongruently colored words and they were to respond to 
word color by pressing a left or right key. Pressing a key produced or 
did not produce a color effect. Three groups were compared, one with a 
compatible mapping of color effect and target color, a second, control 
group without color effects, and a third group with an incompatible 
mapping.
The procedure was exactly as in Experiment 2, except that action effects were color words and that there was no control group."	yes	0	"Exp.1. Priming, Exp.2. Stroop; Exp. 3 Linguistic condition"	no	EP	I guess, they investigated a Simon effect between the lines, but honestly, it just does not pop out	0	additional auditory stimulus		LD_HP		0	No Simon task
96	"McCloskey, M., & Rapp, B. (2000). Attention-referenced visual representations:
 Evidence from impaired visual localization. Journal of Experimental Psychology: Human Perception and Performance, 26(3), 917."		2000	McCloskey, M., & Rapp, B.	https://doi.org/10.1037/0096-1523.26.3.917			0	a clinical study with one single patient		EP		0	clinical study		LD_HP		0	No healthy young adults
97	"Kopp, B., & Rist, F. (1994). Error-correcting behavior in schizophrenic patients. 
 Schizophrenia research, 13(1), 11-22."		1994	Kopp, B., & Rist, F.	https://doi.org/10.1016/0920-9964(94)90056-6			0	"clinical sample; if we would take only the control group, there is almost no info on the RT. Neither Simon effect for the condition.  "		EP	not sure because it's mainly about RT of schizophrenic patients not Simon effect, but uses procedure	0	clinical sample		LD_HP	control group probably interesting? only 27 subjects	0	No healthy young adults
98	"Janse, E. (2012). A non-auditory measure of interference predicts distraction by 
 competing speech in older adults. Aging, Neuropsychology, and Cognition, 19(6), 741-758."		2012	Janse, E.	https://doi.org/10.1080/13825585.2011.652590			0	"stroop task, elderly participants (mean age of 72 (SD = 4.9, range 65–83); "		CK		0	Older adults (M = 72 years), not a Simon task		EB		0	no Simon task, no healthy young adults
99	"Freundlieb, M., Kovács, Á. M., & Sebanz, N. (2016). When do humans 
 spontaneously adopt another’s visuospatial perspective?. Journal of experimental psychology: human perception and performance, 42(3), 401."		2016	Freundlieb, M., Kovács, Á. M., & Sebanz, N.	https://doi.org/10.1037/xhp0000153			0	the task is performed with another participant (coactor)	no	EP		0	stimuli are up vs down instead of left vs right		DFD_KM		0	Vertical task
100	"Cotton, B., Tzeng, O. J., & Hardyck, C. (1980). Role of cerebral hemispheric 
 processing in the visual half-field stimulus–response compatibility effect. Journal of Experimental Psychology: Human Perception and Performance, 6(1), 13."		1980	Cotton, B., Tzeng, O. J., & Hardyck, C.	https://doi.org/10.1037/0096-1523.6.1.13			0	stimuli are presented to only one hemisphere (stimulus duration 100 ms)		EP		0	no RTs		LS_LW		0	Only one hemisphere
101	"Hommel, B. (2000). Intentional control of automatic stimulus-response 
 translation. Beyond dissociation: Interaction between dissociated implicit and explicit processing, 221-242."		2000	Hommel, B.	https://doi.org/10.1075/aicr.22.12hom			0	book chapter		EP	book chapter	0	book		LD_HP		0	Book chapter without empirical data
102	"Stürmer, B., Siggelkow, S., Dengler, R., & Leuthold, H. (2000). Response 
 priming in the Simon paradigm. Experimental Brain Research, 135(3), 353-359."		2000	Stürmer, B., Siggelkow, S., Dengler, R., & Leuthold, H.	https://doi.org/10.1007/s002210000529			0	TMC study		EP	TMS study	0	"TMS; up or down instead of left or right"		LD_HP		0	Vertical task
103	"Leuthold, H., & Schröter, H. (2006). Electrophysiological evidence for response 
 priming and conflict regulation in the auditory Simon task. Brain Research, 1097(1), 167-180."		2006	Leuthold, H., & Schröter, H.	https://doi.org/10.1016/j.brainres.2006.04.055			0	Auditory Simon task		ME		0	auditory Simon effect		HL		0	Auditory Simon task
104	"Kinoshita, S., & Hunt, L. (2008). RT distribution analysis of category congruence 
 effects with masked primes. Memory & Cognition, 36(7), 1324-1334."		2008	Kinoshita, S., & Hunt, L.	https://doi.org/10.3758/MC.36.7.1324			0	masked priming		EP		0	based on numbers not location		EB		0	No Simon task
105	"Sparto, P. J., Fuhrman, S. I., Redfern, M. S., Jennings, J. R., Perera, S., 
 Nebes, R. D., & Furman, J. M. (2013). Postural adjustment errors reveal deficits in inhibition during lateral step initiation in older adults. Journal of neurophysiology, 109(2), 415-428."		2013	"Sparto, P. J., Fuhrman, S. I., Redfern, M. S., Jennings, J. R., Perera, S., 
 Nebes, R. D., & Furman, J. M."	https://doi.org/10.1152/jn.00682.2012			0	postural adjustments, older adults		JW		0	older adult sample, no younger adult control group		EB		0	No healthy young adults
106	"Schmukle, S. C., & Egloff, B. (2006). Assessing anxiety with extrinsic Simon tasks.
 Experimental Psychology, 53(2), 149-160."		2006	Schmukle, S. C., & Egloff, B.	https://doi.org/10.1027/1618-3169.53.2.149			0	EAST Extrinsic affective (!) simon task -> anxiety assesment (implicit self-concept of anxiety)		EP		0	extrinsic simon task		EB		0	Extrinsic affective Simon task
107	"Mewaldt, S. P., Connelly, C. L., & Simon, J. R. (1980). Response selection in 
 choice reaction time: Test of a buffer model. Memory & Cognition, 8(6), 606-611."		1980	Mewaldt, S. P., Connelly, C. L., & Simon, J. R.	https://doi.org/10.3758/BF03213780	"Subjects reacted to the onset of one of six possible visual stimuli by pressing either a left- or a righthand key. Two stimuli were assigned to one key (two-item set) and four stimuli were assigned
 to the other key (four-item set). An irrelevant monaural tone accompanied the visual stimulus
 in Experiment 1 but not in Experiment 2"	more not than yes	0	auditory co-stimulus as the central research subject	no	EP		0	auditory Simon task/ set size		LS_LW		0	Auditory Simon task
108	"Bexkens, A., van den Wildenberg, W. P., & Tijms, J. (2015). Rapid automatized 
 naming in children with dyslexia: Is inhibitory control involved?. Dyslexia, 21(3), 212-234."		2015	Bexkens, A., van den Wildenberg, W. P., & Tijms, J.	https://doi.org/10.1002/dys.1487			0	children with(out) dyslexia		HL		0			EB		0	No healthy young adults
109	"Simon, J. R., Small, A. M., Ziglar, R. A., & Craft, J. L. (1970). Response interference
 in an information processing task: Sensory versus perceptual factors. Journal of Experimental Psychology, 85(2), 311."		1970	Simon, J. R., Small, A. M., Ziglar, R. A., & Craft, J. L.	https://doi.org/10.1037/h0029522			0	auditory stimulus		EP		0	auditory Simon task		HL	no access	0	Auditory Simon task
110	"Acosta Jr, E., & Richard Simon, J. (1976). The effect of irrelevant information on 
 the stages of processing. Journal of Motor Behavior, 8(3), 181-187."		1976	Acosta Jr, E., & Richard Simon, J.	https://doi.org/10.1080/00222895.1976.10735070			0	auditory co-stimulus as the central research subject		EP		0	auditory Simon task		LS_LW		0	Auditory Simon task
111	"Kubo-Kawai, N., & Kawai, N. (2010). Elimination of the enhanced Simon effect 
 for older adults in a three-choice situation: Ageing and the Simon effect in a go/no-go Simon task. Quarterly Journal of Experimental Psychology, 63(3), 452-464."		2010	Kubo-Kawai, N., & Kawai, N.	https://doi.org/10.1080/17470210902990829	Standard Simon task. The participants were required to press the left or the right button as quickly and accurately as possible in response to the colour of the stimulus (circle or square) presented to the left or the right of the fixation point irrespective of its position. For half of the participants, the red stimulus was assigned to the left button and the green to the right button, and vice versa for the remaining half of the participants. The shape of the stimulus was either a circle or a square for each half of the participants. The experiment session consisted of 96 trials with each type defined by a factorial combination of stimulus colour (red or green) and stimulus position (left or right) being presented randomly. Each trial began with the appearance of the fixation cross at the centre of the monitor. After a waiting period that averaged 570 ms (ranging from 500–640 ms), the fixation disappeared, and the target appeared to the left or right of the centre until a response was made or 1,500 ms had elapsed, whichever came first. The intertrial interval (ITI) was 2,000 ms. When the participant made an incorrect response, a 500-ms blank interval was followed by presentation of a blue square (10.08  10.08) for 500 ms as feedback, and then the next trial began after a blank interval of 1,000 ms. There was no feedback for a correct response during the ITI. Go/no-go Simon task. The procedure was basically the same as the standard Simon task except that this task included no-go (withhold) trials, in which the stimulus was of a different shape from that of the standard Simon task. Thus, the session consisted of 96 go trials and 48 no-go trials that occurred quasi-randomly with a probability of 2 : 1. The number of sequences from a compatible trial to an incompatible trial and vice versa was matched within each type of preceding trial (go or no-go trials). The shape of the stimulus indicated the type of trial: A circle indicated a go trial for half of the participants and signalled a no-go trial for the remaining half. In go trials, the task was exactly the same as the standard Simon task. In no-go trials, the participants were instructed to withhold their response for 1,500 ms. When they made any response during this period, the trial terminated, and ITI began, in which a 500-ms blank interval was followed by presentation of a yellow square (10.08  10.08) for 500 ms as another form of feedback. Any error in go trials was followed by the same feedback as that in the standard Simon task	no	1	I think it should be included, although it compares younger and older participants		JW		1	go/no-go simon task		EB		1	
112	"Holender, D., & Peereman, R. (2018). Differential processing of phonographic 
 and logographic single-digit numbers by the two hemispheres. In Mathematical disabilities (pp. 43-86). Routledge."		2018	Holender, D., & Peereman, R.	https://doi.org/10.4324/9780429488542-3			0	doesn't use the Simon task		HL		0	no access to book chapter		EB		0	No Simon task
113	"Rubichi, S., Nicoletti, R., Umiltà, C., & Zorzi, M. (2000). Response strategies and 
 the Simon effect. Psychological Research, 63(2), 129-136."		2000	Rubichi, S., Nicoletti, R., Umiltà, C., & Zorzi, M.	https://doi.org/10.1007/PL00008171	Simon effect in reaction time vs. movement time		0	They predicted that Simon effect would manifest itself in MT and not RT, when RT was fast and MT slow --> completely different data analysis. Not sure we can use it. Maybe later		EP		0	no SDs		LD_HP		0	Different type of analysis
114	"Jones, L. A., Hills, P. J., Dick, K. M., Jones, S. P., & Bright, P. (2016). Cognitive 
 mechanisms associated with auditory sensory gating. Brain and cognition, 102, 33-45."		2016	Jones, L. A., Hills, P. J., Dick, K. M., Jones, S. P., & Bright, P.	https://doi.org/10.1016/j.bandc.2015.12.005	Sensory gating and10 cognitive tasks (attentional inhibition, working memory, fluid intelligence) and paired-stimulus paradigm task	no	1		no	EP		1			DFD_KM		1	
115	"Dommès, A., Le Lay, T., Vienne, F., Dang, N. T., Beaudoin, A. P., & Do, M. C. 
 (2015). Towards an explanation of age-related difficulties in crossing a two-way street. Accident Analysis & Prevention, 85, 229-238."		2015	Dommès, A., Le Lay, T., Vienne, F., Dang, N. T., Beaudoin, A. P., & Do, M. C.	https://doi.org/10.1016/j.aap.2015.09.022	arrows pointing left/ right, presented on left/ right of the screen		1			HL		1	not sure it has the data we need		EB		1	
116	"Magen, H., & Cohen, A. (2002). Action-based and vision-based selection of 
 input: Two sources of control. Psychological Research, 66(4), 247-259."		2002	Magen, H., & Cohen, A.	https://doi.org/10.1007/s00426-002-0099-0	" Stroop and flanker tasks + PRP (Psychological
Refractory Period) paradigm"		0	Simon effect is used as an explanation of their findings. It is mentioned only in the discussion		EP		0	no simon task		LD_HP		0	No Simon task
117	"Oriet, C., & Jolcœur, P. (2003). Absence of perceptual processing during 
 reconfiguration of task set. Journal of Experimental Psychology: Human Perception and Performance, 29(5), 1036."		2003	Oriet, C., & Jolcœur, P.	https://doi.org/10.1037/0096-1523.29.5.1036	Simon Effects in Task Switching. 		0	Simon Effects in Task Switching. They did not really used a simon task, but rather tried to find the simon effect in their paradigm (task switching). 		EP		0			LD_HP	I don't have access	0	No Simon task
118	"Schönherr, J., & Westra, E. (2019). Beyond ‘interaction’: How to understand 
 social effects on social cognition. The British Journal for the Philosophy of Science, 70(1), 27-52."		2019	Schönherr, J., & Westra, E.	https://doi.org/10.1093/bjps/axx041			0	no empirical article		HL		0	no data only a review		EB		0	Review
119	"Olson, C. R., & Gettner, S. N. (2002). Neuronal activity related to rule and 
 conflict in macaque supplementary eye field. Physiology & behavior, 77(4-5), 663-670."		2002	Olson, C. R., & Gettner, S. N.	https://doi.org/10.1016/S0031-9384(02)00945-9			0	n = 3 monkeys		EP		0	no simon task		LD_HP		0	No humans
120	"Degner, J. (2006). Die indirekte Erfassung von Einstellungen gegenüber 
 übergewichtigen Menschen mit dem affektiven Priming. kassel university press GmbH."		2006	Degner, J.				0	Book, in german		EP		0	book, also in German		EB		0	Book chapter without empirical data
121	"Wühr, P. (2006). The Simon effect in vocal responses. Acta psychologica, 121(2),
 210-226."		2006	Wühr, P.	https://doi.org/10.1016/j.actpsy.2004.12.003			0	vocal Simon effect (participants said things)		JW		0	vertical simon effect, cocal responses		EB		0	No stimulus response compatibility
122	"Umiltà, C., Rubichi, S., & Nicoletti, R. (1999). Facilitation and interference 
 components in the Simon effect. Archives italiennes de Biologie, 137(2), 139-149."		1999	Umiltà, C., Rubichi, S., & Nicoletti, R.	https://pubmed-ncbi-nlm-nih-gov.uaccess.univie.ac.at/10349492/	In Experiment 1 subjects had to press one of two lateralized keys in response to one of two stimuli (a rectangle or a square). The stimuli were presented at fixation or to the right or left of it. The stimulus-response mappings could be corresponding (i.e., right key--rectangle or square on the right side), non-corresponding (i.e., right key--rectangle or square on the left side), or neutral (i.e., stimulus in the center). To test whether the neutral position was favored by visual acuity, Experiments 2, 3 and 4 used slight different displays where visual acuity was the same at every stimulus position. 	nothing reported	1		no	EP		1			LD_HP	no access	1	
123	"De Houwer, J. (1998). The semantic Simon effect. The Quarterly Journal of 
 Experimental Psychology Section A, 51(3), 683-688."		1998	De Houwer, J.	https://doi.org/10.1080/713755778			0	semantic variant of the Simon effect without spatial location variable		EP		0	semantic variant of simon task		LD_HP		0	Semantic Simon task
124	"Heister, G., Ehrenstein, W. H., & Schroeder-Heister, P. (1987). Spatial SR 
 compatibility with unimanual two-finger choice reactions: Effects of irrelevant stimulus location. Perception & Psychophysics, 42(2), 195-201."		1987	Heister, G., Ehrenstein, W. H., & Schroeder-Heister, P.	https://doi.org/10.3758/BF03210508			0	too small sample (n=8), not really a Simon task, strange  finger responses		EP		0	8 subjects, within hands (i.e. index vs middle finger)		LD_HP		0	No Simon task
125	"Hasbroucq, T., & Guiard, Y. (1992). The effects of intensity and irrelevant 
 location of a tactile stimulation in a choice reaction time task. Neuropsychologia, 30(1), 91-94."		1992	Hasbroucq, T., & Guiard, Y.	https://doi.org/10.1016/0028-3932(92)90017-G			0	too small sample (n=6), tactile version of the Simon task		EP		0	tactile simon task		LS_LW		0	Tactile Simon task
126	"Hoffmann, D., Pigat, D., & Schiltz, C. (2014). The impact of inhibition capacities 
 and age on number–space associations. Cognitive Processing, 15(3), 329-342."		2014	Hoffmann, D., Pigat, D., & Schiltz, C.	https://doi.org/10.1007/s10339-014-0601-9	arrows, auditory cue		1	additional data from elderly		HL		1			EB		1	
127	"Simon, J. R. (1982). Effect of an auditory stimulus on the processing of a visual 
 stimulus under single-and dual-tasks conditions. Acta Psychologica, 51(1), 61-73."		1982	Simon, J. R.	https://doi.org/10.1016/0001-6918(82)90019-1			0	auditory stimuli		EP		0	auditory Simon task		LS_LW		0	Auditory Simon task
128	Heilman, K. M., Watson, R. T., & Valenstein, E. (2002). Spatial neglect.		2002	Heilman, K. M., Watson, R. T., & Valenstein, E.	https://doi.org/10.1093/acprof:oso/9780198508335.003.0001			0	book chapter		EP		0			LD_HP	no access	0	Book chapter without empirical data
129	"Miles, J. D., & Proctor, R. W. (2012). Correlations between spatial compatibility 
 effects: are arrows more like locations or words?. Psychological Research, 76(6), 777-791."		2012	Miles, J. D., & Proctor, R. W.	https://doi.org/10.1007/s00426-011-0378-8			1			CK	correlations of simon effects for different stimuli were examined	1	No SD reported		EB		1	
130	"Ragot, R., & Fiori, N. (1994). Mental processing during reactions toward and 
 away from a stimulus: An ERP analysis of auditory congruence and S?R compatibility. Psychophysiology, 31(5), 439-446."		1994	Ragot, R., & Fiori, N.	https://doi.org/10.1111/j.1469-8986.1994.tb01047.x			0	auditory Simon effect, not visual		EP		0	auditory stimuli		LS_LW		0	Auditory Simon task
131	"O'Brien, J. C., Williams, H. G., Bundy, A., Lyons, J., & Mittal, A. (2008). 
 Mechanisms that underlie coordination in children with developmental coordination disorder. Journal of Motor Behavior, 40(1), 43-61."		2008	O'Brien, J. C., Williams, H. G., Bundy, A., Lyons, J., & Mittal, A.	https://doi.org/10.3200/JMBR.40.1.43-61			0	children without DCD		ME		0	clinical sample of children		HL		0	No healthy young adults
132	"Heister, G., & Schroeder-Heister, P. (1994). Spatial SR compatibility: Positional 
 instruction vs. compatibility instruction. Acta Psychologica, 85(1), 15-24."		1994	Heister, G., & Schroeder-Heister, P.	https://doi.org/10.1016/0001-6918(94)90017-5			1	"decided to include after the discussion with the second group of coders; too small sample (n=8), not really a Simon task"		EP		1			LD_HP	"not clear who coded it first. Was changed to LD_HP 16.05.2022; was changed from 0? small sample to 1 condition 1 only"	1	
133	"Padilla, M. L., Colrain, I. M., Sullivan, E. V., Mayer, B. Z., Turlington, S. R., 
 Hoffman, L. R., ... & Pfefferbaum, A. (2011). Electrophysiological evidence of enhanced performance monitoring in recently abstinent alcoholic men. Psychopharmacology, 213(1), 81-91."		2011	"Padilla, M. L., Colrain, I. M., Sullivan, E. V., Mayer, B. Z., Turlington, S. R., 
 Hoffman, L. R., ... & Pfefferbaum, A."	https://doi.org/10.1007/s00213-010-2018-1			0	alcoholic mean and controls, measures EEG		JW		0	simon task only mentioned		EB		0	No Simon task
134	"Brebner, J. (1979). The compatibility of spatial and non-spatial relationships. 
 Acta Psychologica, 43(1), 23-32."		1979	Brebner, J.	https://doi.org/10.1016/0001-6918(79)90010-6			0	no access, not sure of the study design fits		EP		0	no SDs		LS_LW		0	No Simon task
135	"Riès, S. K., Dhillon, R. K., Clarke, A., King-Stephens, D., Laxer, K. D., 
 Weber, P. B., ... & Knight, R. T. (2017). Spatiotemporal dynamics of word retrieval in speech production revealed by cortical high-frequency band activity. Proceedings of the National Academy of Sciences, 114(23), E4530-E4538."		2017	"Riès, S. K., Dhillon, R. K., Clarke, A., King-Stephens, D., Laxer, K. D., 
 Weber, P. B., ... & Knight, R. T."	https://doi.org/10.1073/pnas.1620669114	neurological treatment		0	"n = 9, clinical population (neurological treatment); the authors just wrote that the"" participants performed Simon task as well, which is NOT reportet here"""		EP		0	clinical sample		DFD_KM		0	No healthy young adults
136	"richard Simon, J., Acosta, E., & Mewaldt, S. P. (1975). Effect of locus of warning 
 tone on auditory choice reaction time. Memory & Cognition, 3(2), 167-170."		1975	richard Simon, J., Acosta, E., & Mewaldt, S. P.	https://doi.org/10.3758/BF03212893			0	auditory variant of the Simon effect		EP		0	auditory Simon task		LS_LW		0	Auditory Simon task
137	"Klatzky, R. L. (1972). Visual and verbal coding of laterally presented pictures. 
 Journal of Experimental Psychology, 96(2), 439."		1972	Klatzky, R. L.	https://doi.org/10.1037/h0033613			0	too small sample (n=10), not really a imon effect		EP		0	no manual left/right response		LS_LW		0	No Simon task
